1.0000e+02 1.0000e+02 1.0000e+02 8.3469e+01 1.0000e+02 1.0000e+02 1.0000e+02 9.1287e+01 1.0000e+02 1.0000e+02 1.0000e+02 1.0000e+02 9.1674e+01 1.0000e+02 9.0298e+01 1.0000e+02 1.0000e+02 1.0000e+02 1.0000e+02 6.2696e+01 1.0000e+02
-1.0000e+02 -1.2868e+00 3.6276e+01 5.0407e+01 6.3560e+01 7.0137e+01 7.3431e+01 7.3860e+01 7.7257e+01 7.8591e+01 7.8807e+01 7.7921e+01 7.5022e+01 7.4770e+01 7.0893e+01 6.9676e+01 6.4560e+01 5.4500e+01 3.4325e+01 -1.1912e+01 -1.0000e+02
-1.0000e+02 -4.1423e+01 -4.0146e+00 1.8322e+01 3.3696e+01 4.3557e+01 4.9726e+01 5.3466e+01 5.6577e+01 5.8301e+01 5.8715e+01 5.7856e+01 5.5724e+01 5.3164e+01 4.8828e+01 4.3250e+01 3.4066e+01 1.9115e+01 -5.2867e+00 -4.4669e+01 -1.0000e+02
-1.0000e+02 -6.0392e+01 -2.9233e+01 -6.8005e+00 9.3437e+00 2.0671e+01 2.8449e+01 3.3699e+01 3.7286e+01 3.9320e+01 3.9895e+01 3.9063e+01 3.6854e+01 3.3336e+01 2.8003e+01 2.0429e+01 9.3380e+00 -6.8177e+00 -2.9919e+01 -6.1477e+01 -1.0000e+02
-1.0000e+02 -7.0913e+01 -4.5726e+01 -2.5634e+01 -1.0191e+01 1.3322e+00 9.7013e+00 1.5596e+01 1.9546e+01 2.1799e+01 2.2481e+01 2.1648e+01 1.9292e+01 1.5323e+01 9.4203e+00 1.1245e+00 -1.0325e+01 -2.5806e+01 -4.6094e+01 -7.1320e+01 -1.0000e+02
-1.0000e+02 -7.7534e+01 -5.7122e+01 -3.9820e+01 -2.5807e+01 -1.4852e+01 -6.5719e+00 -5.6447e-01 3.5051e+00 5.8478e+00 6.5821e+00 5.7545e+00 3.3433e+00 -7.5630e-01 -6.7698e+00 -1.5026e+01 -2.5958e+01 -3.9986e+01 -5.7331e+01 -7.7710e+01 -1.0000e+02
-1.0000e+02 -8.2100e+01 -6.5408e+01 -5.0718e+01 -3.8363e+01 -2.8363e+01 -2.0573e+01 -1.4787e+01 -1.0810e+01 -8.4950e+00 -7.7550e+00 -8.5555e+00 -1.0917e+01 -1.4922e+01 -2.0717e+01 -2.8502e+01 -3.8494e+01 -5.0848e+01 -6.5536e+01 -8.2189e+01 -1.0000e+02
-1.0000e+02 -8.5459e+01 -7.1692e+01 -5.9282e+01 -4.8564e+01 -3.9663e+01 -3.2569e+01 -2.7202e+01 -2.3462e+01 -2.1264e+01 -2.0552e+01 -2.1304e+01 -2.3536e+01 -2.7298e+01 -3.2676e+01 -3.9770e+01 -4.8667e+01 -5.9378e+01 -7.1774e+01 -8.5510e+01 -1.0000e+02
-1.0000e+02 -8.8044e+01 -7.6618e+01 -6.6154e+01 -5.6948e+01 -4.9157e+01 -4.2839e+01 -3.7989e+01 -3.4572e+01 -3.2547e+01 -3.1885e+01 -3.2575e+01 -3.4623e+01 -3.8058e+01 -4.2917e+01 -4.9238e+01 -5.7025e+01 -6.6224e+01 -7.6673e+01 -8.8076e+01 -1.0000e+02
-1.0000e+02 -9.0100e+01 -8.0580e+01 -7.1770e+01 -6.3916e+01 -5.7178e+01 -5.1643e+01 -4.7345e+01 -4.4289e+01 -4.2467e+01 -4.1867e+01 -4.2486e+01 -4.4325e+01 -4.7394e+01 -5.1699e+01 -5.7237e+01 -6.3973e+01 -7.1821e+01 -8.0619e+01 -9.0121e+01 -1.0000e+02
-1.0000e+02 -9.1775e+01 -8.3834e+01 -7.6431e+01 -6.9769e+01 -6.3997e+01 -5.9208e+01 -5.5458e+01 -5.2774e+01 -5.1164e+01 -5.0632e+01 -5.1177e+01 -5.2799e+01 -5.5492e+01 -5.9248e+01 -6.4039e+01 -6.9810e+01 -7.6466e+01 -8.3861e+01 -9.1789e+01 -1.0000e+02
-1.0000e+02 -9.3166e+01 -8.6549e+01 -8.0350e+01 -7.4734e+01 -6.9832e+01 -6.5736e+01 -6.2507e+01 -6.0183e+01 -5.8785e+01 -5.8320e+01 -5.8793e+01 -6.0200e+01 -6.2530e+01 -6.5762e+01 -6.9860e+01 -7.4762e+01 -8.0374e+01 -8.6568e+01 -9.3176e+01 -1.0000e+02
-1.0000e+02 -9.4339e+01 -8.8848e+01 -8.3684e+01 -7.8985e+01 -7.4861e+01 -7.1396e+01 -6.8652e+01 -6.6669e+01 -6.5471e+01 -6.5072e+01 -6.5475e+01 -6.6677e+01 -6.8665e+01 -7.1412e+01 -7.4878e+01 -7.9003e+01 -8.3701e+01 -8.8861e+01 -9.4346e+01 -1.0000e+02
